,0
POLR2L,-2.026704937981024
TEX29,2.5563017870643217
HIST1H2BI,0.2104563947311603
CNGA2,0.0
TDRD5,-0.05324606098803072
SAAL1,-0.16977756780243114
RBP7,0.08467390631538907
MB21D2,2.1009052293237387
KCNF1,-0.4329657330854626
GPR75-ASB3,0.0
CD209,0.0
CHGB,-0.6583753604136795
NUAK2,1.8654104756974954
GPR34,0.30885823926137956
PDIA3,-1.3243076033855683
LCE3B,0.0
NEMF,0.5260119701178443
TSSK3,1.6071594133179006
WDR25,-0.45025715814537914
PIH1D1,-0.2836829247396371
KDM5B,1.6886867298337558
SHC4,0.04313267178518296
TRAPPC9,-0.45750559124590495
NDUFA12,-0.7715990265616286
KIF26B,0.017091941873557243
MGAT4C,0.0
OR6F1,0.0
OR5F1,0.0
DCST2,0.2951589369887285
HTN3,0.0
DIS3,1.04364285779099
ZRANB3,-0.545340201641504
HYI,0.0
ACACA,-0.8474281968758666
REG3G,0.0
AADACL2,-0.012900007723300187
KRTAP2-4,0.0
TTC37,-0.10413854071892459
ICA1L,-0.12876225800437383
GIGYF2,0.6464012599168973
COX16,-0.9329289796641906
GUCA2B,-0.5036996952386812
PAIP2B,-0.17327882681281098
CCDC40,-0.5316366228054579
TMEM71,0.018414203181328675
MYH10,-0.8730038365859754
UBA6,0.8475304949119962
TYMS,-1.2168187313253318
IL5,0.08949695026978842
ATP8B3,-0.36146586001078695
VWF,-0.03839888978590023
KCNG4,-0.07762619481791257
RIC3,-0.28577460459050674
TAPBPL,-0.16474969578783472
CCNJL,-0.6927069513185058
TRMU,0.6104383617419158
C20orf194,0.11397780987144968
MAB21L1,-0.2184968563107854
TRAK2,-0.5901456353465129
NRSN2,-0.9358791513536904
CCR6,1.319094777038481
SLC4A10,0.004059638594748401
GOPC,0.08120198546962865
C16orf74,0.3598764067166058
OVGP1,1.4763337258270401
DET1,-0.1715809648183959
SFXN2,-0.2794087971631917
ATF7,-0.10161828708955678
MFSD1,-0.4226744186835525
C8orf76,0.1667253822885284
TBC1D22A,-0.7502930435392039
EVPL,1.3270710995418038
AIFM1,-1.4188645710545047
NUDT8,-0.9536837244727006
FAM24A,0.0
EIF1B,2.0825421498082437
FAM208B,0.30791961356935893
ST8SIA5,0.010853414413602783
RUSC2,0.04015920535157491
PHIP,0.7799517807547365
NOSIP,-0.8020266486868382
MS4A3,0.033452678216686765
SPIN3,-0.07357361047936495
DTWD1,0.21253314015699987
LGALS13,0.0
RRBP1,0.17333438311129434
HTN1,0.0
TARM1,0.0
ZNF507,0.8659341712023889
COL25A1,0.0
SMIM9,0.0
LPAR5,0.0
ZNF22,0.3953803855275684
HPS3,-0.29261796277376995
POLA1,-0.7857119653723101
SELENBP1,-1.066210877580447
TBC1D26,0.02984171801537407
OR1M1,0.0
MOXD1,-0.8809430865661485
SETD6,-0.16195709042470985
TMPRSS11A,0.0
B4GALT4,-0.16533698980749723
TMED5,-0.7566939248616169
MAP3K1,1.0115158132586397
WFDC10A,0.0
AVIL,0.6166254555963407
H1FNT,0.6700005740700374
OR2A42,0.0
SDCCAG8,-0.21729444041422297
MRFAP1,0.036845841634050025
LIN7A,-0.33845347517735647
FGFBP2,0.04402781191596976
EPS8L1,-0.14529264320727503
MMP9,-0.2188825164672569
CLDND1,0.378776629286381
TTLL3,-0.08949081150672339
OR2AP1,0.0
ATAD3A,-1.0593649339762117
S1PR3,-0.2006933540277176
ITGA2B,0.04440627483408538
FNDC9,0.07601860549776247
IRX1,0.0
TNFRSF21,-0.5752736785482053
GBP7,0.5214508553689781
ZNF571,0.15068057128775286
CDYL2,0.03668541837388385
UPF3B,1.0144277662267127
UCKL1,-0.1729577179301467
TCF25,-0.35214492384621243
PXMP2,-1.064617906824304
BTN3A1,1.076222204623705
HS3ST6,-0.24449993558242308
ZBTB1,1.4127353886277292
TMEM150C,-0.10046535843345844
SGMS2,0.3002611404545532
TEKT1,0.014290382232515548
DEF8,-0.623346760776319
ZNF217,1.5087393288019628
DNAJC28,0.29065979216962884
EVA1A,0.029928337635097613
TMEM239,0.04749619448126323
VPS37B,1.6172353190712139
NOX1,-0.5858825562700466
AKR1A1,-1.5848934469350549
FCGR1B,0.0
FAM187B,0.0
LMBR1L,-0.15497080240556516
SFN,-1.1798344937555054
SMARCA1,-0.8017179706806994
SH3YL1,-0.46771635653653837
HELZ2,3.4524049844519515
RHCE,-0.0652080172824092
SF3B5,-1.0869690682584388
HIST1H3F,0.39898139595167287
ALYREF,0.014493570033840442
LRRTM3,0.0
CIR1,1.415092369107228
TEX19,0.3917118356952842
B4GALT1,0.45511582286438745
TRIM34,0.0
TMEFF2,-0.23653305979899408
DPYD,-0.020612998936228477
HDGF,0.8310155244938047
TNFAIP8L2,0.13095812350648836
ZDHHC11,0.19161869587279834
FAM3C,-0.29612938983707116
ATOH7,0.8494330409033758
ARRDC5,0.0
RNPEPL1,-0.3915442100092412
INSM2,0.04891850104422552
KRT25,0.0
NEUROD4,0.02825153465292581
IVNS1ABP,-0.3464889205589965
MCCC2,-0.8828856973198635
OSGEP,-0.2813553480401296
CABIN1,-0.42479494036785637
DNAH5,-0.06699626612792386
KIAA1143,0.21895384471389034
FARSB,-1.2980909613412601
PPP2CA,0.25368630764723843
PFKL,-1.315770051562442
ACOT7,-1.1831163652340986
ACTR2,-1.020782086162571
EPHA10,-0.1037535077485146
ZNF266,0.8071474744936875
DIP2B,0.008135088939184687
SH3PXD2A,-0.12856327917784616
MMP15,-1.2496798811330208
TRIM48,0.0
PITPNM2,0.049429473256860756
FBXO4,-0.6593115536703422
FLG,-0.27628608311047215
ZHX3,-0.4287544984954903
MAML1,0.3566182056227638
MS4A15,0.03175166325924912
PLEKHH1,-0.29687662113193125
SKI,0.3397912243152761
LMBRD1,0.16499952887446145
FOXE1,-0.031186145848479008
MRPS27,-1.2073820104199648
C7orf71,0.02708291242513898
TELO2,-0.6566309116043063
MYBBP1A,-0.764688888216424
CHMP2B,0.4418968489626316
HECTD4,-0.01941280202570672
TRIM73,0.0
PLXDC1,0.009126062785051972
CUL2,0.3498289943329769
LITAF,-0.7945969639924844
ELOVL4,-0.6682319806259185
RAB35,-0.12523579358047332
HIGD1C,0.0
